MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape_Area,mean_AI
E02000042,Barnet 019,14.332919376100000,0.000000000000000,21.344689539800001,3,7528.396441869999762,1212573.719359999988228,13.913492519500000
E02000043,Barnet 020,7.670264293740000,0.000000000000000,19.525957088300000,2,10661.577000200000839,1467633.937350000021979,7.229053019380000
E02000044,Barnet 021,11.808230682000000,3.468558368750000,18.164965006799999,3,9037.752611989999423,1107526.124709999887273,11.525041969600000
E02000045,Barnet 022,5.950680716400000,0.000000000000000,12.324576802799999,2,7791.481782140000178,1734792.403339999960735,5.990537166710000
E02000046,Barnet 023,14.822109396200000,3.575083659600000,25.253784733800000,3,7839.824255329999687,970976.680726999999024,14.146907155999999
E02000047,Barnet 024,12.840087308099999,0.000000000000000,26.180649768599999,3,7121.629585079999742,1422172.319730000104755,12.663905078000001
E02000048,Barnet 025,3.085391935020000,0.000000000000000,22.427633446400002,1b,14224.169438099999752,3084209.362660000100732,4.191594698650000
E02000049,Barnet 026,6.475842196990000,2.163394126780000,14.048460681600000,2,4884.157094070000312,788467.032412000000477,7.511235896820000
E02000050,Barnet 027,5.615955134680000,0.000000000000000,14.068718066300001,1b,11318.903371899999911,2120658.669199999887496,4.907941295050000
E02000051,Barnet 028,8.108952919660000,2.425125016360000,24.654334973000001,2,7167.097181729999647,1448418.544380000093952,9.668574969650001
E02000052,Barnet 029,11.756112296800000,2.560431759360000,20.224826857899998,3,8156.112930000000233,969276.585376000031829,10.007578542099999
E02000054,Barnet 031,5.886202884350000,0.000000000000000,21.559836014100000,2,10468.657883800000491,1500658.535440000006929,7.033588775520000
E02000055,Barnet 032,12.239722872700000,2.108908195890000,23.149665825900001,3,11230.629000599999927,1440452.464410000015050,12.799579244000000
E02000056,Barnet 033,3.701030591700000,0.000000000000000,23.295624741800001,2,12025.693459899999652,3227096.616870000027120,5.212484323920000
E02000057,Barnet 034,11.411170766800000,3.969239550980000,27.859758902700001,3,8374.768426059999911,1094070.813839999958873,13.109881065100000
E02000058,Barnet 035,6.855657446710000,0.000000000000000,26.850788471600001,2,8840.039462090000598,1813382.727630000095814,7.462570210520000
E02000059,Barnet 036,7.104915169810000,0.000000000000000,21.065080644399998,2,9106.304289920000883,2193846.281169999856502,6.002490148550000
E02000060,Barnet 037,12.581768964000000,0.000000000000000,29.685999412000001,3,7377.352460729999621,1232475.913510000100359,12.390778372000000
E02000061,Barnet 038,17.317922500000002,0.000000000000000,38.048535326000000,4,8688.796598189999713,1586995.782379999989644,17.282741484500001
